Total Designs Scored, Generation #, Lineage 1 Score, Lineage 2 Score, Lineage 3 Score, Lineage 4 Score, Lineage 5 Score, Lineage 6 Score, Lineage 7 Score, Lineage 8 Score,
3424, 172, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500, 
3448, 173, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500, 
3464, 174, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500, 
3488, 175, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500, 
3504, 176, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500, 
3528, 177, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500, 
3544, 178, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500, 
3568, 179, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500, 
3584, 180, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500, 
3608, 181, 145200, 193100, 214500, 171000, 215200, 182200, 217500, 168500, 
3624, 182, 145200, 193100, 214500, 171000, 201900, 182200, 217500, 168500, 
3648, 183, 145200, 193100, 214500, 171000, 201900, 182200, 217500, 168500, 
3664, 184, 145200, 193100, 214500, 171000, 201900, 182200, 217500, 168500, 
3688, 185, 145200, 193100, 214500, 171000, 201900, 182200, 217500, 168500, 
3704, 186, 145200, 193100, 214500, 171000, 201900, 182200, 217500, 168500, 
3728, 187, 145200, 193100, 214500, 171000, 201900, 182200, 217500, 168500, 
3744, 188, 145200, 193100, 214500, 171000, 201900, 182200, 217500, 168500, 
3768, 189, 145200, 193100, 214500, 171000, 201900, 182200, 217500, 168500, 
3784, 190, 145200, 193100, 214500, 171000, 201900, 182200, 217500, 168500, 
3808, 191, 145200, 193100, 214500, 171000, 201900, 182200, 217500, 168500, 
3824, 192, 145200, 188300, 214500, 171000, 201900, 182200, 217500, 168500, 
3848, 193, 145200, 188300, 206000, 171000, 201900, 182200, 217500, 168500, 
3864, 194, 145200, 188300, 199000, 171000, 201900, 182200, 217500, 168500, 
3888, 195, 145200, 188300, 199000, 171000, 201900, 182200, 217500, 168500, 
3904, 196, 145200, 188300, 199000, 171000, 201900, 182200, 217500, 168500, 
3928, 197, 145200, 188300, 199000, 171000, 201900, 182200, 217500, 168500, 
3944, 198, 145200, 188300, 199000, 171000, 201900, 182200, 217500, 168500, 
3968, 199, 145200, 188300, 199000, 171000, 201900, 182200, 217500, 168500, 
3984, 200, 145200, 188300, 199000, 171000, 201900, 182200, 217500, 168500, 
4008, 201, 145200, 188300, 199000, 171000, 201900, 182200, 217500, 168500, 
4024, 202, 145200, 188300, 199000, 171000, 195900, 182200, 217500, 168500, 
4048, 203, 145200, 188300, 199000, 171000, 195900, 182200, 217500, 168500, 
4064, 204, 145200, 188300, 199000, 171000, 195900, 182200, 217500, 168500, 
4088, 205, 145200, 188300, 199000, 171000, 195900, 182200, 217500, 168500, 
4104, 206, 145200, 188300, 199000, 171000, 182500, 182200, 217500, 168500, 
4128, 207, 145200, 188300, 199000, 171000, 182500, 182200, 217500, 168500, 
4144, 208, 145200, 188300, 199000, 171000, 182500, 182200, 217500, 168500, 
4168, 209, 145200, 188300, 199000, 171000, 182500, 182200, 217500, 168500, 
4184, 210, 145200, 188300, 199000, 171000, 182500, 182200, 217500, 168500, 
4208, 211, 145200, 188300, 199000, 171000, 182500, 182200, 217500, 168500, 
4224, 212, 145200, 188300, 251000, 171000, 182500, 182200, 217500, 168500, 
4248, 213, 145200, 188300, 196600, 171000, 182500, 182200, 217500, 168500, 
4264, 214, 145200, 188300, 196600, 171000, 182500, 182200, 217500, 168500, 
4288, 215, 145200, 188300, 196600, 171000, 182500, 182200, 217500, 168500, 
