//	Structure for each line:
//	Number	-tab-	Name	-tab-	"Recipe"
//	Strand names will be strings, but are not allowed to contain spaces. Strand names must start with a letter.
// "Recipe" will be a space separated list of domains which compose a given strand. All recipes should be entered 5' to 3'. The notation "c." can be used to represent the compliment of a given domain.	
1	Scaffold m13mp18
132	S-dNAM03-1d-W-B35	c.ProbeBvar c.T TT d-dNAM03-1d-W-B35
133	S-dNAM03-1d-W-B36	c.ProbeBvar c.T TT d-dNAM03-1d-W-B36
134	S-dNAM03-1d-W-B37	c.ProbeBvar c.T TT d-dNAM03-1d-W-B37
135	S-dNAM03-1d-W-B38	c.ProbeBvar c.T TT d-dNAM03-1d-W-B38
136	S-dNAM03-1d-W-B39	c.ProbeBvar c.T TT d-dNAM03-1d-W-B39
137	S-dNAM03-1d-W-B40	c.ProbeBvar c.T TT d-dNAM03-1d-W-B40
138	S-dNAM03-1d-W-B41	c.ProbeBvar c.T TT d-dNAM03-1d-W-B41
139	S-dNAM03-1d-W-B42	c.ProbeBvar c.T TT d-dNAM03-1d-W-B42
140	S-dNAM03-1d-W-B43	c.ProbeBvar c.T TT d-dNAM03-1d-W-B43
141	S-dNAM03-1d-W-B44	c.ProbeBvar c.T TT d-dNAM03-1d-W-B44
142	S-dNAM03-1d-W-B45	c.ProbeBvar c.T TT d-dNAM03-1d-W-B45
143	S-dNAM03-1d-W-B46	c.ProbeBvar c.T TT d-dNAM03-1d-W-B46
144	S-dNAM03-1d-W-B47	c.ProbeBvar c.T TT d-dNAM03-1d-W-B47
145	S-dNAM03-1d-W-B48	c.ProbeBvar c.T TT d-dNAM03-1d-W-B48
146	S-dNAM03-1d-W-C01	c.ProbeCvar c.T TT d-dNAM03-1d-W-C01
147	S-dNAM03-1d-W-C02	c.ProbeCvar c.T TT d-dNAM03-1d-W-C02
148	S-dNAM03-1d-W-C03	c.ProbeCvar c.T TT d-dNAM03-1d-W-C03
149	S-dNAM03-1d-W-C04	c.ProbeCvar c.T TT d-dNAM03-1d-W-C04
